Comment,Designator,Footprint,LCSC
"50k-lin","ATTACK1,cutoff1,PM1,RATIO1,RELEASE1,CTL2,PM2,RATIO2","VesturSynthesis:9MM_SNAP-IN_POT",""
"100n","C1,C3,C4,C11,C13,C15,C16,C17,C18,C19,C20,C25,C26,C27,C28,C29,C36,C37,C39,C43,C45,C46,C51,C52","Capacitor_SMD:C_0805_2012Metric",""
"100u","C2,C5,C14,C44","Capacitor_SMD:C_Elec_5x5.8",""
"10u","C21,C23","Capacitor_SMD:C_Elec_5x5.8",""
"2.2u","C22,C24","Capacitor_SMD:C_Elec_5x5.8",""
"100p","C30,C31","Capacitor_SMD:C_0805_2012Metric",""
"22u","C6,C7,C10","Capacitor_SMD:C_Elec_5x5.8",""
"1n","C8,C9,C32,C33,C34,C35,C38,C40,C41,C42","Capacitor_SMD:C_0805_2012Metric",""
"THONKICONNNEW","cv-cutoff1,CV-PM1,CV-RAT1,CV-REL1,GATE-OUT1,LEFT-OUT1,RIGHT-OUT1,CV-CTL2,CV-PM2,CV-RAT2,CV-CTL3,CV-CTL4","VesturSynthesis:WQP-PJ301M-12_JACK",""
"STPS1L30U","D1,D2","Diode_SMD:D_SMB",""
"1N4148","D3","Diode_SMD:D_0805_2012Metric",""
"LED","D4","LED_THT:LED_D3.0mm",""
"LED_Dual_KAK","D5,D6,D7,D8,D9,D10,D11,D12","LED_THT:LED_D3.0mm-3",""
"741G17DBV","IC1","Package_TO_SOT_SMD:SOT-23-5_HandSoldering",""
"Conn_02x08_Odd_Even","J1","con-3m:con-3m-PAK100_2500-16",""
"Conn_01x10_Female","J10","Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical_SMD",""
"Conn_02x05_Odd_Even","J2","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD",""
"Conn_01x03_Male","J4","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Right",""
"Conn_01x18_Male","J5","Connector_PinHeader_2.54mm:PinHeader_2x09_P2.54mm_Vertical_SMD",""
"Conn_01x10_Male","J6","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical_SMD",""
"Conn_01x16_Male","J7","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical_SMD",""
"Conn_01x16_Female","J8","Connector_PinSocket_2.54mm:PinSocket_2x08_P2.54mm_Vertical_SMD",""
"Conn_01x18_Female","J9","Connector_PinSocket_2.54mm:PinSocket_2x09_P2.54mm_Vertical_SMD",""
"33u","L1","Inductor_SMD:L_1206_3216Metric",""
"33u","L2,L6,L12","Inductor_SMD:L_0805_2012Metric",""
"BLM21PG221SN1D","L3,L4,L5,L7","Inductor_SMD:L_0805_2012Metric",""
"BLM21AG102SN1D","L8,L9,L10,L11","Inductor_SMD:L_0805_2012Metric",""
"50k","LEFT1,RIGHT1","Potentiometer_SMD:Potentiometer_ACP_CA6-VSMD_Vertical_Hole",""
"THONKI-STEREO","MIDI-IN1,MIDI-THRU1","VesturSynthesis:WQP-PJ366ST_JACK",""
"BC847","Q1","Package_TO_SOT_SMD:SOT-23",""
"220","R1","Resistor_SMD:R_0805_2012Metric",""
"200k","R11,R13,R15,R17,R23,R25,R26,R28,R66,R68","Resistor_SMD:R_0805_2012Metric",""
"100k","R12,R14,R16,R18,R24,R27,R29,R67,R69","Resistor_SMD:R_0805_2012Metric",""
"66.5k","R19,R20,R21,R22,R31,R32,R33,R34,R70,R71","Resistor_SMD:R_0805_2012Metric",""
"1k","R2,R3,R5,R38,R41,R54,R55","Resistor_SMD:R_0805_2012Metric",""
"100","R30,R35,R36,R37,R52,R53,R64,R65,R72,R73,R74,R75,R76,R77,R78,R79","Resistor_SMD:R_0805_2012Metric",""
"470","R4","Resistor_SMD:R_0805_2012Metric",""
"33","R50","Resistor_SMD:R_0805_2012Metric",""
"10","R51","Resistor_SMD:R_0805_2012Metric",""
"2.2k","R7,R8","Resistor_SMD:R_0805_2012Metric",""
"10k","R9,R10,R40,R82,R83,R84,R85,R86,R87,R88,R89","Resistor_SMD:R_0805_2012Metric",""
"SW_SPDT","SW1,SW2","Button_Switch_SMD:SW_SPDT_PCM12",""
"ctl1","SW3","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",""
"ctl2","SW4","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",""
"L7805","U1,U5","Package_TO_SOT_SMD:TO-252-2",""
"PCA9622","U12","Package_SO:TSSOP-32_6.1x11mm_P0.65mm",""
"MCP6002","U13","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm",""
"NCP1117-3.3_SOT223","U2,U11","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"6N138","U3","VesturSynthesis:DIL8-SMD",""
"LM4040DBZ-10","U4","Package_TO_SOT_SMD:SOT-23",""
"TL072","U6","Package_SO:SO-8_3.9x4.9mm_P1.27mm",""
"Teensy4.1","U7","teensy:Teensy41-minimal",""
"PCM5100","U8","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm",""
"MCP6004","U9,U10","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"KUSBVX","X1","VesturSynthesis:KUSBVX",""
"Jumper_2_Bridged","demp1,flt1,fmt1,xsmt1","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",""
"SW_MEC_5G","sw-midi1,sw-sel1,sw-sel2","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx",""